C:\DOCUMENTS AND SETTINGS\USER\DESKTOP\GUSTAVO\CALIBRACAO\CAL
30/8/2022  18:50:51   
Tempo Vivo ;      600,00;seconds
Tempo Real ;      608,45;seconds
Energia; Resol,;   BG;      CPS;     1s;   Canal
 (keV);  (keV);                      (%); 
  29,25;  1,60;     509;   0,619;  11,07;  120,35;
 122,00;  1,11;    1128;  95,327;   0,42;  499,36;
 126,45;  1,12;     581;   0,147;  23,52;  517,53;
 136,42;  1,09;     842;  12,542;   1,32;  558,27;
1173,20;  1,75;     488;  23,360;   0,88; 4794,71;
1332,50;  1,94;     136;  20,290;   0,92; 5445,65;
