C:\DOCUMENTS AND SETTINGS\USER\DESKTOP\GUSTAVO\CANBERRA 3\CAL
2/12/2022  15:43:52   
Tempo Vivo ;      600,00;seconds
Tempo Real ;      605,25;seconds
Energia; Resol,;   BG;      CPS;     1s;   Canal
 (keV);  (keV);                      (%); 
  20,99;  0,79;     323;   0,344;  15,17;   82,46;
  61,18;  0,82;     617;   0,008; 754,55;  242,20;
 122,04;  1,63;    1848;  50,499;   0,63;  484,11;
 136,45;  1,72;     980;   5,823;   2,25;  541,35;
 372,22;  0,34;     266;   0,028; 131,47; 1478,41;
 946,24;  1,03;     543;   0,051; 103,74; 3759,86;
1173,23;  2,30;     325;  15,336;   1,10; 4662,01;
1332,52;  2,44;      70;  13,178;   1,14; 5295,08;
