C:\DOCUMENTS AND SETTINGS\USER\DESKTOP\GUSTAVO\CANBERRA 1\CAL
20/12/2022 22:11:02   
Tempo Vivo ;      600,00;seconds
Tempo Real ;      605,65;seconds
Energia; Resol,;   BG;      CPS;     1s;   Canal
 (keV);  (keV);                      (%); 
 122,04;  1,05;     806;  29,403;   0,81;  471,04;
 136,45;  1,02;     569;   3,581;   2,94;  528,83;
 331,01;  0,72;     261;   0,033; 124,84; 1309,21;
1172,25;  1,76;     273;  17,683;   1,01; 4683,33;
1331,43;  1,84;      49;  15,862;   1,03; 5321,79;
